date,Category,Count,Cumulative_Sum
2007-01,<2.5kW,96,96
2007-02,<2.5kW,132,228
2007-03,<2.5kW,156,384
2007-04,<2.5kW,123,507
2007-05,<2.5kW,113,620
2007-06,<2.5kW,195,815
2007-07,<2.5kW,337,1152
2007-08,<2.5kW,417,1569
2007-09,<2.5kW,462,2031
2007-10,<2.5kW,602,2633
2007-11,<2.5kW,606,3239
2007-12,<2.5kW,584,3823
2008-01,<2.5kW,616,4439
2008-02,<2.5kW,745,5184
2008-03,<2.5kW,766,5950
2008-04,<2.5kW,997,6947
2008-05,<2.5kW,1179,8126
2008-06,<2.5kW,1022,9148
2008-07,<2.5kW,1221,10369
2008-08,<2.5kW,1286,11655
2008-09,<2.5kW,1439,13094
2008-10,<2.5kW,1992,15086
2008-11,<2.5kW,1995,17081
2008-12,<2.5kW,2314,19395
2009-01,<2.5kW,2398,21793
2009-02,<2.5kW,3291,25084
2009-03,<2.5kW,3985,29069
2009-04,<2.5kW,3804,32873
2009-05,<2.5kW,4529,37402
2009-06,<2.5kW,4802,42204
2009-07,<2.5kW,5622,47826
2009-08,<2.5kW,6205,54031
2009-09,<2.5kW,7106,61137
2009-10,<2.5kW,9018,70155
2009-11,<2.5kW,10665,80820
2009-12,<2.5kW,9477,90297
2010-01,<2.5kW,9896,100193
2010-02,<2.5kW,12151,112344
2010-03,<2.5kW,16235,128579
2010-04,<2.5kW,16753,145332
2010-05,<2.5kW,21193,166525
2010-06,<2.5kW,23016,189541
2010-07,<2.5kW,21644,211185
2010-08,<2.5kW,22739,233924
2010-09,<2.5kW,24650,258574
2010-10,<2.5kW,27595,286169
2010-11,<2.5kW,32142,318311
2010-12,<2.5kW,23659,341970
2011-01,<2.5kW,31779,373749
2011-02,<2.5kW,36259,410008
2011-03,<2.5kW,44150,454158
2011-04,<2.5kW,40941,495099
2011-05,<2.5kW,61033,556132
2011-06,<2.5kW,79830,635962
2011-07,<2.5kW,24591,660553
2011-08,<2.5kW,22185,682738
2011-09,<2.5kW,22677,705415
2011-10,<2.5kW,16246,721661
2011-11,<2.5kW,16809,738470
2011-12,<2.5kW,13713,752183
2012-01,<2.5kW,12700,764883
2012-02,<2.5kW,19590,784473
2012-03,<2.5kW,23354,807827
2012-04,<2.5kW,26052,833879
2012-05,<2.5kW,39696,873575
2012-06,<2.5kW,47999,921574
2012-07,<2.5kW,19752,941326
2012-08,<2.5kW,19598,960924
2012-09,<2.5kW,17498,978422
2012-10,<2.5kW,15649,994071
2012-11,<2.5kW,15307,1009378
2012-12,<2.5kW,18356,1027734
2013-01,<2.5kW,9500,1037234
2013-02,<2.5kW,8884,1046118
2013-03,<2.5kW,8565,1054683
2013-04,<2.5kW,8450,1063133
2013-05,<2.5kW,8953,1072086
2013-06,<2.5kW,8752,1080838
2013-07,<2.5kW,7930,1088768
2013-08,<2.5kW,6401,1095169
2013-09,<2.5kW,5825,1100994
2013-10,<2.5kW,6534,1107528
2013-11,<2.5kW,6697,1114225
2013-12,<2.5kW,5005,1119230
2014-01,<2.5kW,5238,1124468
2014-02,<2.5kW,5746,1130214
2014-03,<2.5kW,5192,1135406
2014-04,<2.5kW,4778,1140184
2014-05,<2.5kW,5363,1145547
2014-06,<2.5kW,4865,1150412
2014-07,<2.5kW,5575,1155987
2014-08,<2.5kW,5255,1161242
2014-09,<2.5kW,6038,1167280
2014-10,<2.5kW,5642,1172922
2014-11,<2.5kW,4316,1177238
2014-12,<2.5kW,3763,1181001
2015-01,<2.5kW,3568,1184569
2015-02,<2.5kW,3790,1188359
2015-03,<2.5kW,3860,1192219
2015-04,<2.5kW,3235,1195454
2015-05,<2.5kW,3396,1198850
2015-06,<2.5kW,3179,1202029
2015-07,<2.5kW,3489,1205518
2015-08,<2.5kW,2766,1208284
2015-09,<2.5kW,2860,1211144
2015-10,<2.5kW,2772,1213916
2015-11,<2.5kW,2599,1216515
2015-12,<2.5kW,2230,1218745
2016-01,<2.5kW,1979,1220724
2016-02,<2.5kW,2669,1223393
2016-03,<2.5kW,2491,1225884
2016-04,<2.5kW,2452,1228336
2016-05,<2.5kW,2385,1230721
2016-06,<2.5kW,2166,1232887
2016-07,<2.5kW,2263,1235150
2016-08,<2.5kW,2566,1237716
2016-09,<2.5kW,2143,1239859
2016-10,<2.5kW,2289,1242148
2016-11,<2.5kW,2479,1244627
2016-12,<2.5kW,2334,1246961
2017-01,<2.5kW,1947,1248908
2017-02,<2.5kW,2729,1251637
2017-03,<2.5kW,2944,1254581
2017-04,<2.5kW,2100,1256681
2017-05,<2.5kW,2603,1259284
2017-06,<2.5kW,2395,1261679
2017-07,<2.5kW,2330,1264009
2017-08,<2.5kW,2605,1266614
2017-09,<2.5kW,2138,1268752
2017-10,<2.5kW,1997,1270749
2017-11,<2.5kW,2135,1272884
2017-12,<2.5kW,1888,1274772
2018-01,<2.5kW,1594,1276366
2018-02,<2.5kW,1808,1278174
2018-03,<2.5kW,2031,1280205
2018-04,<2.5kW,1772,1281977
2018-05,<2.5kW,2058,1284035
2018-06,<2.5kW,1576,1285611
2018-07,<2.5kW,1629,1287240
2018-08,<2.5kW,1690,1288930
2018-09,<2.5kW,1435,1290365
2018-10,<2.5kW,1645,1292010
2018-11,<2.5kW,1778,1293788
2018-12,<2.5kW,1268,1295056
2019-01,<2.5kW,1043,1296099
2019-02,<2.5kW,1459,1297558
2019-03,<2.5kW,1278,1298836
2019-04,<2.5kW,1090,1299926
2019-05,<2.5kW,1414,1301340
2019-06,<2.5kW,1359,1302699
2019-07,<2.5kW,1343,1304042
2019-08,<2.5kW,1334,1305376
2019-09,<2.5kW,1253,1306629
2019-10,<2.5kW,1258,1307887
2019-11,<2.5kW,1175,1309062
2019-12,<2.5kW,913,1309975
2020-01,<2.5kW,867,1310842
2020-02,<2.5kW,843,1311685
