date,<2.5kW',2.5–4.5kW',4.5–6.5kW',6.5–9.5kW',9.5–14kW',14–25kW',25–50kW',50–100kW',100kW–5MW','5MW–30MW','30+ MW'
2007-01,96,33,5,0,10,20,0,0,0,0,0
2007-02,228,59,15,15,10,20,0,0,0,0,0
2007-03,384,85,30,37,21,20,0,0,0,0,0
2007-04,507,123,46,57,32,20,0,0,0,0,0
2007-05,620,147,77,57,32,20,0,0,0,0,0
2007-06,815,217,98,72,32,20,0,0,0,0,0
2007-07,1152,282,108,81,32,58,0,0,0,0,0
2007-08,1569,396,135,81,43,58,0,0,0,0,0
2007-09,2031,545,161,89,69,58,0,0,0,0,0
2007-10,2633,735,203,119,79,94,0,0,0,0,0
2007-11,3239,877,251,119,89,94,32,0,0,0,0
2007-12,3823,1055,294,158,147,125,32,64,0,0,0
2008-01,4439,1214,314,158,147,125,32,163,0,0,0
2008-02,5184,1378,345,180,147,125,32,163,0,0,0
2008-03,5950,1512,383,210,147,125,32,163,0,0,0
2008-04,6947,1687,447,254,159,125,68,163,0,0,0
2008-05,8126,1923,484,277,170,125,68,163,0,0,0
2008-06,9148,2094,533,286,217,140,68,163,0,0,0
2008-07,10369,2321,613,302,251,189,68,163,0,0,0
2008-08,11655,2533,670,324,262,206,68,163,0,0,0
2008-09,13094,2739,806,414,272,206,68,163,0,0,0
2008-10,15086,3063,906,431,282,222,98,163,0,0,0
2008-11,17081,3339,968,439,304,256,98,163,0,0,0
2008-12,19395,3719,1090,471,352,276,156,163,0,0,0
2009-01,21793,3946,1156,486,362,292,156,163,0,0,0
2009-02,25084,4248,1250,509,362,335,156,163,0,0,0
2009-03,29069,4629,1364,518,372,350,156,263,0,0,0
2009-04,32873,5009,1545,553,420,373,156,263,0,0,0
2009-05,37402,5444,1713,601,450,387,212,263,0,0,0
2009-06,42204,5821,1862,617,483,474,212,263,0,0,0
2009-07,47826,6312,2106,662,515,514,246,263,0,0,0
2009-08,54031,6998,2292,722,611,546,317,263,0,0,0
2009-09,61137,7856,2604,755,741,649,446,263,0,0,0
2009-10,70155,8921,3030,808,784,708,503,263,0,0,0
2009-11,80820,10235,3552,897,882,769,503,263,0,0,0
2009-12,90297,11738,4076,1010,1020,809,619,314,0,0,0
2010-01,100193,13065,4543,1087,1186,809,683,314,0,0,0
2010-02,112344,15436,5240,1270,1483,909,683,314,0,0,0
2010-03,128579,18741,6315,1530,1999,1062,865,381,0,0,0
2010-04,145332,22771,7500,1765,2529,1197,894,381,0,0,0
2010-05,166525,27698,8778,2133,3341,1264,979,540,0,0,0
2010-06,189541,33911,10862,2645,5011,1378,1228,740,0,0,0
2010-07,211185,41596,13496,3255,6647,1503,1518,740,0,0,0
2010-08,233924,50045,16442,4003,8485,1688,1841,860,0,0,0
2010-09,258574,59846,19834,4729,10666,1929,2107,1088,0,0,0
2010-10,286169,70689,23575,5673,12650,2081,2325,1232,0,0,0
2010-11,318311,84239,28103,6441,14990,2519,2901,1739,0,0,0
2010-12,341970,94890,31366,7127,17086,2762,3210,1966,0,0,0
2011-01,373749,110532,36656,8068,20730,3026,3629,2171,0,0,0
2011-02,410008,127745,42274,9246,24051,3435,3902,2560,0,0,0
2011-03,454158,149340,49700,10303,29123,3810,4424,2560,0,0,0
2011-04,495099,170011,56659,11499,34240,4364,4903,2708,0,0,0
2011-05,556132,204442,67892,13016,39642,5061,6028,3344,0,0,0
2011-06,635962,258170,88428,15360,45155,7105,7953,4861,0,0,0
2011-07,660553,277305,95322,16007,46745,7772,8536,4971,0,0,0
2011-08,682738,299790,104087,16571,48209,8229,9308,4971,0,0,0
2011-09,705415,327269,117218,17463,49675,8803,10388,5027,100,0,0
2011-10,721661,343869,124739,18306,51179,9255,11304,5027,100,0,0
2011-11,738470,361691,133923,19227,53571,9610,12281,5078,100,0,0
2011-12,752183,376071,142198,20091,54632,10194,13269,5128,100,0,0
2012-01,764883,388360,149265,20650,55636,10397,13875,5334,100,0,0
2012-02,784473,406037,159654,21485,56902,10826,14646,5455,100,0,0
2012-03,807827,427244,173678,22583,58405,11285,15334,5554,100,0,0
2012-04,833879,451703,190798,23573,59837,12039,15936,5670,100,0,0
2012-05,873575,495363,222335,25828,62093,13091,17301,5987,100,0,0
2012-06,921574,560439,275934,29485,67154,14876,18761,6404,100,0,0
2012-07,941326,590572,299960,30743,68684,16123,19647,6520,100,0,0
2012-08,960924,623505,330394,32662,70342,16955,20475,6726,100,0,0
2012-09,978422,658157,366164,34952,72708,18690,21786,6989,100,0,0
2012-10,994071,684325,391498,36685,74255,19915,22496,7581,300,0,0
2012-11,1009378,710344,417583,38583,76010,20980,23775,7992,400,0,0
2012-12,1027734,747274,457015,42208,79852,22821,25484,8636,400,0,0
2013-01,1037234,765225,474930,43645,81799,23952,26531,9447,400,0,0
2013-02,1046118,784027,495267,45472,84031,25669,27700,10383,600,0,0
2013-03,1054683,803217,518832,47601,86238,27427,29453,11759,700,0,0
2013-04,1063133,822442,545620,49463,89074,28689,30934,12861,1000,0,0
2013-05,1072086,844594,582739,51937,91921,30852,33212,14294,1000,0,0
2013-06,1080838,869029,628182,54706,95474,33191,36161,15491,1200,0,0
2013-07,1088768,888883,653826,56922,98597,35180,38326,16927,1400,0,0
2013-08,1095169,906893,677285,59696,102057,36998,40562,17998,1700,0,0
2013-09,1100994,924975,702271,62544,106250,39122,42746,19692,2200,0,0
2013-10,1107528,946542,731693,66100,110598,41477,45721,21463,2600,0,0
2013-11,1114225,966099,761731,69534,115271,43790,48346,23133,3000,0,0
2013-12,1119230,982051,786615,72558,119194,46401,52065,25166,3700,0,0
2014-01,1124468,997911,811086,75620,123541,49094,55932,26691,4228,0,0
2014-02,1130214,1014916,836156,77559,126039,50823,58212,28057,5167,0,0
2014-03,1135406,1032942,862028,79432,128592,52881,60977,31503,6067,0,0
2014-04,1140184,1049876,887703,81102,130946,54471,63101,32927,11327,0,0
2014-05,1145547,1070069,918510,83385,134208,56900,66157,36715,13986,20000,0
2014-06,1150412,1087523,946586,85440,136758,59350,69875,39672,14955,20000,0
2014-07,1155987,1107821,976916,87771,139683,62276,74177,42732,16633,20000,0
2014-08,1161242,1126172,1003780,90246,142735,65011,78043,46273,17717,20000,0
2014-09,1167280,1146338,1034338,93128,145947,67758,82061,49005,18579,20000,0
2014-10,1172922,1167673,1065196,95919,149446,71181,86062,52348,19612,20000,0
2014-11,1177238,1185675,1092064,98724,152494,73425,90476,56043,21509,20000,0
2014-12,1181001,1203213,1117816,101587,155551,76440,94777,60279,23009,20000,0
2015-01,1184569,1217918,1139537,103608,157780,78675,97556,64047,23697,20000,0
2015-02,1188359,1233577,1164987,106234,160828,81583,101361,67884,24422,20000,0
2015-03,1192219,1249477,1191242,109151,163711,84576,104709,71819,26109,20000,102000
2015-04,1195454,1262809,1213423,111565,166352,87419,107570,73787,28480,20000,102000
2015-05,1198850,1276199,1237204,114370,169381,90260,111378,77587,31535,20000,102000
2015-06,1202029,1289643,1262523,117242,172523,93978,115511,81185,32535,20000,102000
2015-07,1205518,1304008,1292276,120439,176125,97378,119591,84657,33785,20000,155000
2015-08,1208284,1317263,1319177,123248,179008,100066,123590,88354,34801,20000,155000
2015-09,1211144,1330472,1346459,126207,181989,103417,126946,91966,37607,20000,155000
2015-10,1213916,1343251,1373306,129172,184892,106021,131213,97009,39678,20000,155000
2015-11,1216515,1356162,1398683,132257,188131,109076,135459,100129,45573,20000,155000
2015-12,1218745,1367755,1422588,135090,191645,112279,138867,105541,49421,20000,155000
2016-01,1220724,1376676,1442300,137449,193848,114136,140797,108289,50315,20000,155000
2016-02,1223393,1388515,1468326,140528,196676,116869,144506,111941,51479,20000,211000
2016-03,1225884,1400363,1493520,143566,199456,119322,147855,115882,53686,20000,211000
2016-04,1228336,1411582,1517182,147088,202562,122127,151236,121309,55826,30560,211000
2016-05,1230721,1423095,1542273,151004,205696,125339,155045,126674,57036,30560,211000
2016-06,1232887,1433811,1565765,154607,209275,129053,159532,131527,64558,30560,211000
2016-07,1235150,1444705,1589189,158334,213031,132422,163592,136807,65839,30560,211000
2016-08,1237716,1456893,1616316,162384,216874,136415,168458,141591,68614,30560,211000
2016-09,1239859,1468633,1644367,166488,221164,140335,174079,147317,71804,30560,211000
2016-10,1242148,1479338,1672343,170782,225305,143700,179019,153756,73758,30560,211000
2016-11,1244627,1493318,1706751,176261,229801,147853,184154,158965,77062,30560,211000
2016-12,1246961,1506814,1745087,182567,236006,153442,193076,174736,80066,54548,211000
2017-01,1248908,1517297,1772231,186672,238815,155568,195594,177527,82553,54548,211000
2017-02,1251637,1530148,1806964,191520,243221,158923,200238,181005,84465,54548,211000
2017-03,1254581,1543727,1845193,197055,248525,162923,206101,187897,87619,79548,211000
2017-04,1256681,1554465,1877523,202195,252631,166177,211613,193784,88871,79548,211000
2017-05,1259284,1567885,1917423,209223,258910,171979,218147,203773,95134,79548,211000
2017-06,1261679,1580216,1956947,215867,265321,177894,226383,213798,100383,79548,211000
2017-07,1264009,1592510,2000116,222494,271786,183185,232803,223915,102588,94548,211000
2017-08,1266614,1605297,2046607,231422,279447,188306,240457,231742,105470,94548,211000
2017-09,1268752,1616820,2089665,240642,287268,193605,247852,240490,109369,94548,211000
2017-10,1270749,1628819,2137027,251634,295809,199108,255527,252129,113902,94548,211000
2017-11,1272884,1641798,2191986,265636,306900,206548,264403,266149,129515,107602,211000
2017-12,1274772,1653645,2243204,280945,318721,215233,276973,294195,133773,118500,340091
2018-01,1276366,1664295,2285813,293608,326393,219347,281706,300021,137966,138662,375033
2018-02,1278174,1676561,2334837,307937,336423,225243,288566,309307,150010,138662,375033
2018-03,1280205,1688898,2385200,325455,347803,232055,296724,320811,155608,156006,714317
2018-04,1281977,1699942,2429790,341975,357710,238850,304775,331854,165952,172525,714317
2018-05,1284035,1712159,2477477,364099,370708,246944,314944,347765,177950,209779,908019
2018-06,1285611,1721867,2518287,388985,382882,255581,325393,363799,187142,215741,908019
2018-07,1287240,1732033,2561871,420155,396419,263511,334811,374370,196817,215741,1293585
2018-08,1288930,1742847,2606171,457697,410657,272684,344560,387174,204330,221721,1500636
2018-09,1290365,1753145,2647804,499697,423651,279809,353181,398066,215239,246893,2157911
2018-10,1292010,1764778,2694703,550819,439211,287516,363616,411589,225959,266817,2270370
2018-11,1293788,1776589,2746142,612490,456705,296490,374317,430698,239568,266817,2475786
2018-12,1295056,1786471,2787399,669757,476344,308534,388808,463183,258318,266817,2550878
2019-01,1296099,1796006,2821994,722413,487384,313400,394110,469495,271030,317691,2635627
2019-02,1297558,1806846,2865401,785298,504306,320443,401269,482511,285291,329115,2889067
2019-03,1298836,1818121,2906929,851818,521903,329053,409817,495142,301694,329115,2889067
2019-04,1299926,1827967,2943570,911449,538798,335977,418045,506103,312165,335208,3070070
2019-05,1301340,1838010,2980554,979264,560128,345590,429049,523473,325743,335208,3322866
2019-06,1302699,1845883,3009331,1035702,578581,356244,441879,540496,339809,343009,3412082
2019-07,1304042,1854416,3044408,1106869,599587,366210,453229,557741,361855,348816,3412082
2019-08,1305376,1863779,3079288,1181650,619904,375489,466205,571719,383476,377168,3630226
2019-09,1306629,1873019,3115751,1263449,642917,385293,478738,586050,392700,377168,3630226
2019-10,1307887,1883182,3153789,1359217,669705,395498,491654,603506,405339,384029,3885612
2019-11,1309062,1894407,3191156,1465784,700095,406834,506169,623871,429270,413356,4185776
2019-12,1309975,1903150,3224464,1573463,733886,422004,524419,661002,448053,421655,4824603
