date,mw,value
2007-01,'30+ Mw',0
2007-01,'5Mw–30Mw',0
2007-01,100kW–5MW',0
2007-01,14–25kW',20
2007-01,2.5–4.5kW',33
2007-01,25–50kW',0
2007-01,4.5–6.5kW',5
2007-01,50–100kW',0
2007-01,6.5–9.5kW',0
2007-01,9.5–14kW',10
2007-01,<2.5kW',96
2007-02,'30+ Mw',0
2007-02,'5Mw–30Mw',0
2007-02,100kW–5MW',0
2007-02,14–25kW',20
2007-02,2.5–4.5kW',59
2007-02,25–50kW',0
2007-02,4.5–6.5kW',15
2007-02,50–100kW',0
2007-02,6.5–9.5kW',15
2007-02,9.5–14kW',10
2007-02,<2.5kW',228
2007-03,'30+ Mw',0
2007-03,'5Mw–30Mw',0
2007-03,100kW–5MW',0
2007-03,14–25kW',20
2007-03,2.5–4.5kW',85
2007-03,25–50kW',0
2007-03,4.5–6.5kW',30
2007-03,50–100kW',0
2007-03,6.5–9.5kW',37
2007-03,9.5–14kW',21
2007-03,<2.5kW',384
2007-04,'30+ Mw',0
2007-04,'5Mw–30Mw',0
2007-04,100kW–5MW',0
2007-04,14–25kW',20
2007-04,2.5–4.5kW',123
2007-04,25–50kW',0
2007-04,4.5–6.5kW',46
2007-04,50–100kW',0
2007-04,6.5–9.5kW',57
2007-04,9.5–14kW',32
2007-04,<2.5kW',507
2007-05,'30+ Mw',0
2007-05,'5Mw–30Mw',0
2007-05,100kW–5MW',0
2007-05,14–25kW',20
2007-05,2.5–4.5kW',147
2007-05,25–50kW',0
2007-05,4.5–6.5kW',77
2007-05,50–100kW',0
2007-05,6.5–9.5kW',57
2007-05,9.5–14kW',32
2007-05,<2.5kW',620
2007-06,'30+ Mw',0
2007-06,'5Mw–30Mw',0
2007-06,100kW–5MW',0
2007-06,14–25kW',20
2007-06,2.5–4.5kW',217
2007-06,25–50kW',0
2007-06,4.5–6.5kW',98
2007-06,50–100kW',0
2007-06,6.5–9.5kW',72
2007-06,9.5–14kW',32
2007-06,<2.5kW',815
2007-07,'30+ Mw',0
2007-07,'5Mw–30Mw',0
2007-07,100kW–5MW',0
2007-07,14–25kW',58
2007-07,2.5–4.5kW',282
2007-07,25–50kW',0
2007-07,4.5–6.5kW',108
2007-07,50–100kW',0
2007-07,6.5–9.5kW',81
2007-07,9.5–14kW',32
2007-07,<2.5kW',1152
2007-08,'30+ Mw',0
2007-08,'5Mw–30Mw',0
2007-08,100kW–5MW',0
2007-08,14–25kW',58
2007-08,2.5–4.5kW',396
2007-08,25–50kW',0
2007-08,4.5–6.5kW',135
2007-08,50–100kW',0
2007-08,6.5–9.5kW',81
2007-08,9.5–14kW',43
2007-08,<2.5kW',1569
2007-09,'30+ Mw',0
2007-09,'5Mw–30Mw',0
2007-09,100kW–5MW',0
