REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Season
VIC1,2016-01-01 00:30:00,5197.34,35.52,TRADE,Summer
VIC1,2016-01-01 01:00:00,4934.54,38.29,TRADE,Summer
VIC1,2016-01-01 01:30:00,4721.32,29.3,TRADE,Summer
VIC1,2016-01-01 02:00:00,4541.24,31.28,TRADE,Summer
VIC1,2016-01-01 02:30:00,4344.18,23.87,TRADE,Summer
VIC1,2016-01-01 03:00:00,4225.93,22.49,TRADE,Summer
VIC1,2016-01-01 03:30:00,4164.47,22.81,TRADE,Summer
VIC1,2016-01-01 04:00:00,4131.72,22.2,TRADE,Summer
VIC1,2016-01-01 04:30:00,4115.7,22.2,TRADE,Summer
VIC1,2016-01-01 05:00:00,4107.57,22.51,TRADE,Summer
VIC1,2016-01-01 05:30:00,4115.95,22.2,TRADE,Summer
VIC1,2016-01-01 06:00:00,4147.24,22.31,TRADE,Summer
VIC1,2016-01-01 06:30:00,4262.67,22.66,TRADE,Summer
VIC1,2016-01-01 07:00:00,4293.51,26.83,TRADE,Summer
VIC1,2016-01-01 07:30:00,4328.27,30.32,TRADE,Summer
VIC1,2016-01-01 08:00:00,4450.14,32.03,TRADE,Summer
VIC1,2016-01-01 08:30:00,4575.45,32.71,TRADE,Summer
VIC1,2016-01-01 09:00:00,4659.07,33.97,TRADE,Summer
VIC1,2016-01-01 09:30:00,4752.39,32.87,TRADE,Summer
VIC1,2016-01-01 10:00:00,4860.72,33.95,TRADE,Summer
VIC1,2016-01-01 10:30:00,5010.03,34.29,TRADE,Summer
VIC1,2016-01-01 11:00:00,5131.9,36.04,TRADE,Summer
VIC1,2016-01-01 11:30:00,5229.41,36.31,TRADE,Summer
VIC1,2016-01-01 12:00:00,5326.05,34.69,TRADE,Summer
VIC1,2016-01-01 12:30:00,5400.9,36.08,TRADE,Summer
VIC1,2016-01-01 13:00:00,5440.7,36.74,TRADE,Summer
VIC1,2016-01-01 13:30:00,5468.5,35.61,TRADE,Summer
VIC1,2016-01-01 14:00:00,5534.46,35.77,TRADE,Summer
VIC1,2016-01-01 14:30:00,5559.33,35.25,TRADE,Summer
VIC1,2016-01-01 15:00:00,5631.16,34.98,TRADE,Summer
VIC1,2016-01-01 15:30:00,5661.19,34.16,TRADE,Summer
VIC1,2016-01-01 16:00:00,5646.13,33.33,TRADE,Summer
