instal type,SED name,SED state,Capacity,capacity Commercial,capacity Power Station,capacity Residential,Density,Dwellings,instals Power Station,number of instals
instals Commercial,Adelaide,SA,54464,18653,10100,25711,37.5,13227,7,647
instals Residential,Adelaide,SA,54464,18653,10100,25711,37.5,13227,7,4963
instals Commercial,Albany (South West),WA,25254,4796,200,20258,24.7,19292,1,144
instals Residential,Albany (South West),WA,25254,4796,200,20258,24.7,19292,1,4763
instals Commercial,Albert Park (Southern Metropolitan),VIC,17777,8468,2164,7145,11.3,14081,9,218
instals Residential,Albert Park (Southern Metropolitan),VIC,17777,8468,2164,7145,11.3,14081,9,1591
instals Commercial,Albury,NSW,171103,27231,55130,88742,40.1,40484,12,944
instals Residential,Albury,NSW,171103,27231,55130,88742,40.1,40484,12,16221
instals Commercial,Algester,QLD,102863,17030,8725,77108,61.9,23552,12,592
instals Residential,Algester,QLD,102863,17030,8725,77108,61.9,23552,12,14590
instals Commercial,Altona (Western Metropolitan),VIC,68491,10778,2149,55564,29.2,38820,3,273
instals Residential,Altona (Western Metropolitan),VIC,68491,10778,2149,55564,29.2,38820,3,11349
instals Commercial,Arafura,NT,5968,1356,3263,1349,13,1497,5,36
instals Residential,Arafura,NT,5968,1356,3263,1349,13,1497,5,194
instals Commercial,Araluen,NT,11597,3438,277,7882,33.5,4663,1,86
instals Residential,Araluen,NT,11597,3438,277,7882,33.5,4663,1,1561
instals Commercial,Armadale (East Metropolitan),WA,68055,5350,240,62465,54.9,23400,1,180
instals Residential,Armadale (East Metropolitan),WA,68055,5350,240,62465,54.9,23400,1,12839
instals Commercial,Arnhem,NT,12828,2170,9498,1160,6.8,2526,6,57
instals Residential,Arnhem,NT,12828,2170,9498,1160,6.8,2526,6,172
instals Commercial,Aspley,QLD,60548,8337,1278,50933,47.3,21490,3,303
instals Residential,Aspley,QLD,60548,8337,1278,50933,47.3,21490,3,10166
instals Commercial,Auburn,NSW,48908,18290,3126,27492,23.6,21779,10,477
instals Residential,Auburn,NSW,48908,18290,3126,27492,23.6,21779,10,5136
instals Commercial,Badcoe,SA,45239,10706,3579,30954,45.3,13720,5,369
instals Residential,Badcoe,SA,45239,10706,3579,30954,45.3,13720,5,6219
instals Commercial,Balcatta (North Metropolitan),WA,42827,12593,605,29629,32.2,19245,2,361
instals Residential,Balcatta (North Metropolitan),WA,42827,12593,605,29629,32.2,19245,2,6196
instals Commercial,Baldivis (South Metropolitan),WA,81240,3985,167,77088,62.6,25992,1,141
instals Residential,Baldivis (South Metropolitan),WA,81240,3985,167,77088,62.6,25992,1,16264
instals Commercial,Ballina,NSW,127571,22797,1158,103616,56.1,36833,5,950
instals Residential,Ballina,NSW,127571,22797,1158,103616,56.1,36833,5,20662
instals Commercial,Balmain,NSW,20278,4522,150,15606,14.4,22674,1,142
instals Residential,Balmain,NSW,20278,4522,150,15606,14.4,22674,1,3261
instals Commercial,Bancroft,QLD,78746,9594,3939,65213,52.3,24387,9,370
instals Residential,Bancroft,QLD,78746,9594,3939,65213,52.3,24387,9,12757
instals Commercial,Bankstown,NSW,40222,9790,1806,28626,24.3,21474,3,323
instals Residential,Bankstown,NSW,40222,9790,1806,28626,24.3,21474,3,5226
instals Commercial,Barkly,NT,6688,2872,731,3085,11.1,4505,2,82
