"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capacity_Residential","capacity_Commercial","capacity_Power_Station","installs_Residential","installs_Commercial","installs_Power_Station"
"10050","Albury (C)","NSW","69263","26143","9945","35.9","51193","16533","1537","9382","559","4"
"10180","Armidale Regional (A)","NSW","30511","12642","4787","36.1","24164","6347","0","4560","227","0"
"10250","Ballina (A)","NSW","68400","20590","12120","57.0","57632","9966","802","11727","390","3"
"10300","Balranald (A)","NSW","608653","929","374","34.1","1876","1811","604966","316","53","5"
"10470","Bathurst Regional (A)","NSW","52108","18133","6943","36.0","38104","11305","2699","6522","417","4"
"10500","Bayside (A)","NSW","54904","33654","7224","20.2","38644","14203","2057","6794","424","6"
"10550","Bega Valley (A)","NSW","41061","17966","7753","41.9","34577","6225","259","7525","227","1"
"10600","Bellingen (A)","NSW","17163","6279","3254","50.2","14567","2596","0","3153","101","0"
"10650","Berrigan (A)","NSW","192050","4232","2171","46.7","10517","5949","175584","1978","191","2"
"10750","Blacktown (C)","NSW","397485","132994","55259","40.0","310995","61409","25081","53190","2015","54"
"10800","Bland (A)","NSW","192245","3056","1225","37.1","6411","2237","183597","1133","89","3"
"10850","Blayney (A)","NSW","9569","3186","1241","36.6","6998","1970","601","1165","75","1"
"10900","Blue Mountains (C)","NSW","72060","34173","12793","36.3","62624","9287","149","12390","402","1"
"10950","Bogan (A)","NSW","106825","1290","606","42.8","2553","1072","103200","552","51","3"
"11150","Bourke (A)","NSW","4928","1204","771","59.1","3645","1283","0","711","60","0"
"11200","Brewarrina (A)","NSW","2698","719","412","52.5","1997","701","0","378","34","0"
"11250","Broken Hill (C)","NSW","33888","9102","6057","63.6","26247","6891","750","5792","264","1"
"11300","Burwood (A)","NSW","11661","7857","1658","19.7","8638","3023","0","1550","108","0"
"11350","Byron (A)","NSW","58458","16025","9372","55.0","45382","12720","356","8814","556","2"
"11400","Cabonne (A)","NSW","114068","6234","2752","41.4","14519","4621","94928","2579","171","2"
"11450","Camden (A)","NSW","144640","42617","17769","39.2","113270","25068","6302","16689","1068","12"
"11500","Campbelltown (C) (NSW)","NSW","166869","61837","24826","38.6","132929","27706","6234","23852","961","13"
"11520","Canada Bay (A)","NSW","31812","18502","4217","21.6","24092","6059","1661","3997","217","3"
"11570","Canterbury-Bankstown (A)","NSW","170487","94401","23309","23.3","122417","39507","8563","21995","1297","17"
"11600","Carrathool (A)","NSW","126487","1251","547","36.6","2609","2721","121157","458","81","8"
"11650","Central Coast (C) (NSW)","NSW","318821","140232","48015","33.0","256105","46401","16315","46263","1726","26"
"11700","Central Darling (A)","NSW","4145","854","613","64.8","2894","1251","0","554","59","0"
"11720","Cessnock (C)","NSW","79231","25905","10706","39.5","61357","11220","6654","10232","466","8"
"11730","Clarence Valley (A)","NSW","74331","25105","12569","48.2","61511","12154","666","12105","461","3"
"11750","Cobar (A)","NSW","7263","2197","1174","50.2","5491","1772","0","1103","71","0"
"11800","Coffs Harbour (C)","NSW","93262","31658","15192","46.3","73978","15522","3762","14668","515","9"
"12000","Coolamon (A)","NSW","5782","2038","912","42.4","4780","1002","0","864","48","0"
"12150","Coonamble (A)","NSW","6278","1629","1003","56.4","4510","1768","0","919","84","0"
"12160","Cootamundra-Gundagai Regional (A)","NSW","21459","5474","2324","39.7","11688","3463","6308","2174","148","2"
"12350","Cowra (A)","NSW","17448","6326","2572","38.0","12814","4388","246","2401","170","1"
"12380","Cumberland (A)","NSW","112561","54328","14617","25.3","75688","27974","8899","13735","858","24"
"12390","Dubbo Regional (A)","NSW","917500","21973","12759","54.8","55922","18177","843401","12048","698","13"
"12700","Dungog (A)","NSW","15119","4601","2177","44.2","12147","2972","0","2035","142","0"
"12730","Edward River (A)","NSW","15585","4282","1919","41.0","10296","5013","276","1757","161","1"
"12750","Eurobodalla (A)","NSW","50692","23766","8722","35.6","43194","7073","425","8472","248","2"
"12850","Fairfield (C)","NSW","151329","57979","19209","31.0","95579","42753","12997","17947","1236","26"
"12870","Federation (A)","NSW","75490","6805","3360","46.8","17199","5124","53167","3187","167","6"
"12900","Forbes (A)","NSW","73890","4036","1667","37.8","8558","3317","62015","1525","139","3"
"12930","Georges River (A)","NSW","62653","36308","9273","24.3","50123","11451","1079","8816","453","4"
"12950","Gilgandra (A)","NSW","6291","2073","1074","48.7","4843","1448","0","1009","65","0"
"13010","Glen Innes Severn (A)","NSW","35850","4676","1674","33.9","8147","2322","25381","1584","88","2"
"13310","Goulburn Mulwaree (A)","NSW","36748","15486","4964","30.2","26965","6444","3339","4684","277","3"
"13340","Greater Hume Shire (A)","NSW","17836","4945","2578","49.2","13823","3591","422","2434","142","2"
"13450","Griffith (C)","NSW","76017","9941","4196","35.4","20519","17665","37833","3520","665","11"
"13550","Gunnedah (A)","NSW","171512","6116","2352","36.1","12962","3695","154855","2210","138","4"
"13660","Gwydir (A)","NSW","7772","2386","1203","47.0","5900","1872","0","1121","82","0"
"13800","Hawkesbury (C)","NSW","101958","28574","11632","36.1","68973","30444","2541","10324","1302","6"
"13850","Hay (A)","NSW","6194","1445","635","38.4","3424","2175","595","555","78","2"
"13910","Hilltops (A)","NSW","26010","9333","3729","37.3","19764","5928","318","3481","246","2"
