year-month,cumulative_installed_kw,installations_in_month
2001-04,15,12
2001-05,27,12
2001-06,60,19
2001-07,133,7
2001-08,150,10
2001-09,174,18
2001-10,191,10
2001-11,227,19
2001-12,249,13
2002-01,276,17
2002-02,304,19
2002-03,327,14
2002-04,344,15
2002-05,374,19
2002-06,390,16
2002-07,416,16
2002-08,444,19
2002-09,505,27
2002-10,536,21
2002-11,626,36
2002-12,3669,34
2003-01,4689,44
2003-02,4799,34
2003-03,4860,44
2003-04,4887,16
2003-05,4907,15
2003-06,4972,46
2003-07,5066,63
2003-08,5176,83
2003-09,5274,69
2003-10,5404,85
2003-11,5533,92
2003-12,5637,74
2004-01,5694,44
2004-02,5802,92
2004-03,5899,68
2004-04,6019,75
2004-05,6132,84
2004-06,6234,85
2004-07,6326,89
2004-08,6447,102
2004-09,6534,85
2004-10,6685,137
2004-11,6816,120
2004-12,6952,108
2005-01,7089,99
2005-02,7209,118
2005-03,7322,110
2005-04,7511,139
2005-05,7677,137
2005-06,7812,95
2005-07,7966,106
2005-08,8123,107
2005-09,8252,97
2005-10,8437,115
2005-11,8641,142
2005-12,8857,141
2006-01,8956,59
2006-02,9034,57
2006-03,9193,91
2006-04,9323,80
2006-05,9474,97
2006-06,9612,88
2006-07,9751,80
2006-08,9886,86
2006-09,10025,89
2006-10,10216,124
2006-11,10454,138
2006-12,10673,130
2007-01,10835,106
2007-02,11017,118
2007-03,11243,154
2007-04,11451,134
2007-05,11622,122
2007-06,11922,196
2007-07,12375,282
2007-08,12939,363
2007-09,13613,422
2007-10,14529,543
2007-11,15371,522
2007-12,16360,524
2008-01,17245,528
2008-02,18194,645
2008-03,19168,684
2008-04,20506,875
2008-05,21999,1031
2008-06,23328,928
2008-07,24968,1147
2008-08,26583,1177
2008-09,28482,1329
2008-10,30982,1821
2008-11,33395,1769
2008-12,36404,2130
2009-01,39171,2170
2009-02,42959,2990
2009-03,47617,3573
2009-04,52118,3429
2009-05,57439,4082
2009-06,62948,4345
2009-07,69480,5169
2009-08,76850,5724
2009-09,85489,6268
2009-10,96194,7818
2009-11,108944,9279
2009-12,120876,8070
2010-01,132849,8398
2010-02,148605,10295
2010-03,170358,13228
2010-04,193190,13413
2010-05,222028,16687
2010-06,256048,18160
2010-07,290616,16808
2010-08,327889,17390
2010-09,369268,19022
2010-10,414816,21170
2010-11,469600,24984
2010-12,510627,18654
2011-01,568736,25466
2011-02,633317,28850
2011-03,713435,35528
2011-04,789430,33180
2011-05,905391,50290
2011-06,1072738,68868
2011-07,1126843,22220
2011-08,1183439,22127
2011-09,1250770,24875
2011-10,1294695,16669
2011-11,1343094,18080
2011-12,1382878,14596
2012-01,1417397,13018
2012-02,1468337,19562
2012-03,1530652,23632
2012-04,1602025,26554
2012-05,1724065,43478
2012-06,1902991,59213
2012-07,1981782,25778
2012-08,2070036,27993
2012-09,2165742,28422
2012-10,2238756,22609
2012-11,2312481,22506
2012-12,2418656,30563
2013-01,2470192,15004
2013-02,2526082,15489
2013-03,2586495,16142
2013-04,2649506,16741
2013-05,2728683,20144
2013-06,2820020,22223
2013-07,2884274,16765
2013-08,2943518,14961
2013-09,3005632,14889
2013-10,3078236,17316
2013-11,3149313,16966
2013-12,3210816,13753
2014-01,3272060,13770
2014-02,3330304,14118
2014-03,3392661,14265
2014-04,3454135,13501
2014-05,3547594,16192
2014-06,3612333,14418
2014-07,3685403,16264
2014-08,3752246,14780
2014-09,3825069,16579
2014-10,3900574,16813
2014-11,3967478,14159
2014-12,4033113,13533
2015-01,4086485,11467
2015-02,4147989,12877
2015-03,4313448,13169
2015-04,4366982,11074
2015-05,4426549,11630
2015-06,4486660,11787
2015-07,4606017,13111
2015-08,4665823,11624
2015-09,4728008,11780
2015-10,4790049,11486
2015-11,4853422,11243
2015-12,4913192,10306
2016-01,4955654,8216
2016-02,5069228,10968
2016-03,5126383,10653
2016-04,5194577,10292
2016-05,5254121,10694
2016-06,5318164,10073
2016-07,5376141,10137
2016-08,5442238,11471
2016-09,5511042,11317
2016-10,5577118,11063
2016-11,5655745,13446
2016-12,5779666,14449
2017-01,5836058,10136
2017-02,5908995,12998
2017-03,6019470,14247
2017-04,6089807,11661
2017-05,6187645,14690
2017-06,6284368,14072
