date,Energy_Source,Value
1998–99,Hydro,16563.0
1999–00,Hydro,16720.0
2000–01,Hydro,16933.0
2001–02,Hydro,16054.0
2002–03,Hydro,16490.0
2003–04,Hydro,16331.1
2004–05,Hydro,15612.2
2005–06,Hydro,16029.2
2006–07,Hydro,14517.0
2007–08,Hydro,12056.9
2008–09,Hydro,11869.4
2009–10,Hydro,13548.7
2010–11,Hydro,16806.7
2011–12,Hydro,14083.3
2012–13,Hydro,18269.6
2013–14,Hydro,18420.9
2014–15,Hydro,13445.0
2015–16,Hydro,15318.2
2016–17,Hydro,16284.9
2017–18,Hydro,16020.8
2018–19,Hydro,15967.3
2019–20,Hydro,15149.6
2020–21,Hydro,15199.7
2021–22,Hydro,17010.9
2022–23,Hydro,16666.1
1998–99,Wind,28.0
1999–00,Wind,58.0
2000–01,Wind,210.0
2001–02,Wind,364.0
2002–03,Wind,703.1
2003–04,Wind,705.0
2004–05,Wind,885.0
2005–06,Wind,1713.1
2006–07,Wind,2611.1
2007–08,Wind,3093.1
2008–09,Wind,3823.8
2009–10,Wind,5051.7
2010–11,Wind,6084.9
2011–12,Wind,6969.8
2012–13,Wind,7959.6
2013–14,Wind,10251.9
2014–15,Wind,11466.5
2015–16,Wind,12199.5
2016–17,Wind,12597.0
2017–18,Wind,15174.4
2018–19,Wind,17712.0
2019–20,Wind,20395.9
2020–21,Wind,24535.4
2021–22,Wind,29107.8
2022–23,Wind,31384.9
1998–99,Solar,37.7
1999–00,Solar,43.5
2000–01,Solar,50.0
2001–02,Solar,58.3
2002–03,Solar,58.3
2003–04,Solar,68.1
2004–05,Solar,77.8
2005–06,Solar,90.3
2006–07,Solar,104.7
2007–08,Solar,122.8
2008–09,Solar,155.6
2009–10,Solar,424.8
2010–11,Solar,1530.5
2011–12,Solar,2558.6
2012–13,Solar,3826.2
2013–14,Solar,4416.0
2014–15,Solar,5531.3
2015–16,Solar,6838.3
2016–17,Solar,8071.7
2017–18,Solar,9929.9
2018–19,Solar,14848.5
2019–20,Solar,21033.2
2020–21,Solar,27717.0
2021–22,Solar,34686.6
2022–23,Solar,41968.5
1998–99,Bioenergy,1133.0
1999–00,Bioenergy,1134.0
2000–01,Bioenergy,645.0
2001–02,Bioenergy,950.0
2002–03,Bioenergy,1583.6
2003–04,Bioenergy,1799.5
2004–05,Bioenergy,3830.0
2005–06,Bioenergy,3911.0
2006–07,Bioenergy,3953.0
2007–08,Bioenergy,4596.0
2008–09,Bioenergy,2795.2
2009–10,Bioenergy,2777.4
2010–11,Bioenergy,2101.7
2011–12,Bioenergy,3043.7
2012–13,Bioenergy,3143.5
2013–14,Bioenergy,3499.4
2014–15,Bioenergy,3592.2
2015–16,Bioenergy,3789.9
2016–17,Bioenergy,3500.5
2017–18,Bioenergy,3517.7
2018–19,Bioenergy,3495.9
2019–20,Bioenergy,3351.6
2020–21,Bioenergy,3346.2
2021–22,Bioenergy,3190.3
2022–23,Bioenergy,3092.8
